Date,MY,Index_Type,Index_Value,pct_chg
2019-02-28,2019-02,Case_Shiller_Home_Price_Index,207.305,0
2019-03-31,2019-03,Case_Shiller_Home_Price_Index,208.019,0.34442005740334225
2019-04-30,2019-04,Case_Shiller_Home_Price_Index,208.726,0.33987280008075876
2019-05-31,2019-05,Case_Shiller_Home_Price_Index,209.219,0.23619482000325545
2019-06-30,2019-06,Case_Shiller_Home_Price_Index,209.664,0.2126957876674648
2019-07-31,2019-07,Case_Shiller_Home_Price_Index,210.374,0.3386370573870612
2019-08-31,2019-08,Case_Shiller_Home_Price_Index,210.959,0.27807618812211016
2019-09-30,2019-09,Case_Shiller_Home_Price_Index,211.552,0.28109727482590896
2019-10-31,2019-10,Case_Shiller_Home_Price_Index,212.395,0.3984835879594699
2019-11-30,2019-11,Case_Shiller_Home_Price_Index,213.391,0.468937592692851
2019-12-31,2019-12,Case_Shiller_Home_Price_Index,214.400999999999,0.47330955850949485
2020-01-31,2020-01,Case_Shiller_Home_Price_Index,215.39,0.46128516191669056
2020-02-29,2020-02,Case_Shiller_Home_Price_Index,216.743,0.6281628673568915
2020-03-31,2020-03,Case_Shiller_Home_Price_Index,217.572999999999,0.3829420096607585
2020-04-30,2020-04,Case_Shiller_Home_Price_Index,217.854,0.12915205471313165
2020-05-31,2020-05,Case_Shiller_Home_Price_Index,218.426,0.2625611648167921
2020-06-30,2020-06,Case_Shiller_Home_Price_Index,219.877,0.6642982062575068
2020-07-31,2020-07,Case_Shiller_Home_Price_Index,222.69,1.2793516375064187
2020-08-31,2020-08,Case_Shiller_Home_Price_Index,225.82,1.405541335488794
2020-09-30,2020-09,Case_Shiller_Home_Price_Index,229.309,1.5450358692764168
2020-10-31,2020-10,Case_Shiller_Home_Price_Index,232.56,1.4177376378598332
2020-11-30,2020-11,Case_Shiller_Home_Price_Index,235.442,1.239250085999314
2020-12-31,2020-12,Case_Shiller_Home_Price_Index,238.421,1.2652797716635031
2021-01-31,2021-01,Case_Shiller_Home_Price_Index,241.13,1.136225416385303
2019-02-28,2019-02,SP_500,2803.69,0
2019-03-31,2019-03,SP_500,2867.19,2.2648723646337503
2019-04-30,2019-04,SP_500,2923.73,1.9719655830272833
2019-06-30,2019-06,SP_500,2964.33,1.3886371176544998
2019-07-31,2019-07,SP_500,2953.56,-0.3633198732934586
2019-09-30,2019-09,SP_500,2940.25,-0.45064261433659536
2019-10-31,2019-10,SP_500,3066.91,4.307796956041148
2020-03-31,2020-03,SP_500,2470.5,-19.44660912775399
2020-04-30,2020-04,SP_500,2830.71,14.580449301760778
2020-05-31,2020-05,SP_500,3055.73,7.9492424162136
2020-06-30,2020-06,SP_500,3115.86,1.9677785668236432
2020-08-31,2020-08,SP_500,3526.65,13.183840095511352
2020-09-30,2020-09,SP_500,3380.8,-4.135652814994397
2020-11-30,2020-11,SP_500,3662.45,8.33086843350685
2021-01-31,2021-01,SP_500,3773.86,3.041952791164393
2021-02-28,2021-02,SP_500,3901.82,3.3906928184935325
2021-03-31,2021-03,SP_500,4019.87,3.0255111717096055
2021-04-29,2021-04,SP_500,4181.17,4.012567570593084
2021-05-02,2021-05,SP_500,4192.66,0.274803464102148
